dataset,model,negative,question_type,error_type,count,percentage (%)
e2ewtq,gpt-4o,soft,Comparison,Reasoning Hallucination,1,1.851852
e2ewtq,gpt-4o,soft,Aggregation,Distractor Extraction,0,0.0
e2ewtq,gpt-4o,soft,Aggregation,Premature Refusal,0,0.0
e2ewtq,gpt-4o,soft,Aggregation,Reasoning Hallucination,0,0.0
ottqa,qwen3-32b,hard,Lookup,Distractor Extraction,1020,65.552699
ottqa,qwen3-32b,hard,Lookup,Premature Refusal,36,2.313625
ottqa,qwen3-32b,hard,Lookup,Reasoning Hallucination,105,6.748072
ottqa,qwen3-32b,hard,Comparison,Distractor Extraction,320,20.565553
ottqa,qwen3-32b,hard,Comparison,Premature Refusal,15,0.96401
ottqa,qwen3-32b,hard,Comparison,Reasoning Hallucination,22,1.413882
ottqa,qwen3-32b,hard,Aggregation,Distractor Extraction,36,2.313625
ottqa,qwen3-32b,hard,Aggregation,Premature Refusal,0,0.0
ottqa,qwen3-32b,hard,Aggregation,Reasoning Hallucination,2,0.128535
ottqa,qwen3-32b,soft,Lookup,Distractor Extraction,928,60.103627
ottqa,qwen3-32b,soft,Lookup,Premature Refusal,57,3.69171
ottqa,qwen3-32b,soft,Lookup,Reasoning Hallucination,142,9.196891
ottqa,qwen3-32b,soft,Comparison,Distractor Extraction,309,20.012953
ottqa,qwen3-32b,soft,Comparison,Premature Refusal,30,1.943005
ottqa,qwen3-32b,soft,Comparison,Reasoning Hallucination,43,2.784974
ottqa,qwen3-32b,soft,Aggregation,Distractor Extraction,29,1.878238
ottqa,qwen3-32b,soft,Aggregation,Premature Refusal,2,0.129534
ottqa,qwen3-32b,soft,Aggregation,Reasoning Hallucination,4,0.259067
ottqa,gpt-oss-20b,hard,Lookup,Distractor Extraction,859,50.116686
ottqa,gpt-oss-20b,hard,Lookup,Premature Refusal,11,0.641774
ottqa,gpt-oss-20b,hard,Lookup,Reasoning Hallucination,360,21.003501
ottqa,gpt-oss-20b,hard,Comparison,Distractor Extraction,307,17.911319
ottqa,gpt-oss-20b,hard,Comparison,Premature Refusal,7,0.408401
ottqa,gpt-oss-20b,hard,Comparison,Reasoning Hallucination,109,6.359393
ottqa,gpt-oss-20b,hard,Aggregation,Distractor Extraction,49,2.85881
ottqa,gpt-oss-20b,hard,Aggregation,Premature Refusal,0,0.0
ottqa,gpt-oss-20b,hard,Aggregation,Reasoning Hallucination,12,0.700117
ottqa,gpt-oss-20b,soft,Lookup,Distractor Extraction,674,40.848485
ottqa,gpt-oss-20b,soft,Lookup,Premature Refusal,10,0.606061
ottqa,gpt-oss-20b,soft,Lookup,Reasoning Hallucination,496,30.060606
ottqa,gpt-oss-20b,soft,Comparison,Distractor Extraction,284,17.212121
ottqa,gpt-oss-20b,soft,Comparison,Premature Refusal,9,0.545455
ottqa,gpt-oss-20b,soft,Comparison,Reasoning Hallucination,118,7.151515
ottqa,gpt-oss-20b,soft,Aggregation,Distractor Extraction,35,2.121212
ottqa,gpt-oss-20b,soft,Aggregation,Premature Refusal,0,0.0
ottqa,gpt-oss-20b,soft,Aggregation,Reasoning Hallucination,24,1.454545
ottqa,claude-haiku-4-5,hard,Lookup,Distractor Extraction,877,65.742129
ottqa,claude-haiku-4-5,hard,Lookup,Premature Refusal,59,4.422789
ottqa,claude-haiku-4-5,hard,Lookup,Reasoning Hallucination,51,3.823088
ottqa,claude-haiku-4-5,hard,Comparison,Distractor Extraction,285,21.364318
ottqa,claude-haiku-4-5,hard,Comparison,Premature Refusal,14,1.049475
ottqa,claude-haiku-4-5,hard,Comparison,Reasoning Hallucination,16,1.1994
ottqa,claude-haiku-4-5,hard,Aggregation,Distractor Extraction,32,2.398801
ottqa,claude-haiku-4-5,hard,Aggregation,Premature Refusal,0,0.0
ottqa,claude-haiku-4-5,hard,Aggregation,Reasoning Hallucination,0,0.0
ottqa,claude-haiku-4-5,soft,Lookup,Distractor Extraction,742,59.790492
ottqa,claude-haiku-4-5,soft,Lookup,Premature Refusal,106,8.541499
ottqa,claude-haiku-4-5,soft,Lookup,Reasoning Hallucination,88,7.091056
ottqa,claude-haiku-4-5,soft,Comparison,Distractor Extraction,237,19.097502
ottqa,claude-haiku-4-5,soft,Comparison,Premature Refusal,21,1.692184
ottqa,claude-haiku-4-5,soft,Comparison,Reasoning Hallucination,15,1.208703
ottqa,claude-haiku-4-5,soft,Aggregation,Distractor Extraction,26,2.095085
ottqa,claude-haiku-4-5,soft,Aggregation,Premature Refusal,4,0.322321
ottqa,claude-haiku-4-5,soft,Aggregation,Reasoning Hallucination,2,0.16116
ottqa,gpt-4o,hard,Lookup,Distractor Extraction,1181,66.950113
ottqa,gpt-4o,hard,Lookup,Premature Refusal,59,3.344671
ottqa,gpt-4o,hard,Lookup,Reasoning Hallucination,123,6.972789
ottqa,gpt-4o,hard,Comparison,Distractor Extraction,321,18.197279
ottqa,gpt-4o,hard,Comparison,Premature Refusal,20,1.133787
ottqa,gpt-4o,hard,Comparison,Reasoning Hallucination,37,2.097506
ottqa,gpt-4o,hard,Aggregation,Distractor Extraction,21,1.190476
ottqa,gpt-4o,hard,Aggregation,Premature Refusal,2,0.113379
ottqa,gpt-4o,hard,Aggregation,Reasoning Hallucination,0,0.0
ottqa,gpt-4o,soft,Lookup,Distractor Extraction,1143,61.188437
ottqa,gpt-4o,soft,Lookup,Premature Refusal,128,6.852248
ottqa,gpt-4o,soft,Lookup,Reasoning Hallucination,166,8.88651
ottqa,gpt-4o,soft,Comparison,Distractor Extraction,321,17.184154
ottqa,gpt-4o,soft,Comparison,Premature Refusal,33,1.766595
ottqa,gpt-4o,soft,Comparison,Reasoning Hallucination,49,2.623126
ottqa,gpt-4o,soft,Aggregation,Distractor Extraction,23,1.231263
ottqa,gpt-4o,soft,Aggregation,Premature Refusal,2,0.107066
ottqa,gpt-4o,soft,Aggregation,Reasoning Hallucination,3,0.1606
feta,qwen3-32b,hard,Lookup,Distractor Extraction,2576,66.272189
feta,qwen3-32b,hard,Lookup,Premature Refusal,113,2.907126
feta,qwen3-32b,hard,Lookup,Reasoning Hallucination,182,4.682274
feta,qwen3-32b,hard,Comparison,Distractor Extraction,765,19.680988
feta,qwen3-32b,hard,Comparison,Premature Refusal,20,0.514536
feta,qwen3-32b,hard,Comparison,Reasoning Hallucination,42,1.080525
feta,qwen3-32b,hard,Aggregation,Distractor Extraction,171,4.39928
feta,qwen3-32b,hard,Aggregation,Premature Refusal,4,0.102907
feta,qwen3-32b,hard,Aggregation,Reasoning Hallucination,14,0.360175
feta,qwen3-32b,soft,Lookup,Distractor Extraction,1167,62.708221
feta,qwen3-32b,soft,Lookup,Premature Refusal,89,4.782375
feta,qwen3-32b,soft,Lookup,Reasoning Hallucination,132,7.092961
feta,qwen3-32b,soft,Comparison,Distractor Extraction,314,16.872649
feta,qwen3-32b,soft,Comparison,Premature Refusal,17,0.913487
feta,qwen3-32b,soft,Comparison,Reasoning Hallucination,30,1.612037
feta,qwen3-32b,soft,Aggregation,Distractor Extraction,86,4.621171
feta,qwen3-32b,soft,Aggregation,Premature Refusal,8,0.429876
feta,qwen3-32b,soft,Aggregation,Reasoning Hallucination,18,0.967222
feta,gpt-oss-20b,hard,Lookup,Distractor Extraction,2315,53.464203
feta,gpt-oss-20b,hard,Lookup,Premature Refusal,33,0.762125
feta,gpt-oss-20b,hard,Lookup,Reasoning Hallucination,936,21.616628
feta,gpt-oss-20b,hard,Comparison,Distractor Extraction,627,14.48037
feta,gpt-oss-20b,hard,Comparison,Premature Refusal,11,0.254042
feta,gpt-oss-20b,hard,Comparison,Reasoning Hallucination,183,4.226328
feta,gpt-oss-20b,hard,Aggregation,Distractor Extraction,183,4.226328
feta,gpt-oss-20b,hard,Aggregation,Premature Refusal,1,0.023095
feta,gpt-oss-20b,hard,Aggregation,Reasoning Hallucination,41,0.946882
feta,gpt-oss-20b,soft,Lookup,Distractor Extraction,1339,52.862219
feta,gpt-oss-20b,soft,Lookup,Premature Refusal,22,0.868535
feta,gpt-oss-20b,soft,Lookup,Reasoning Hallucination,514,20.292144
feta,gpt-oss-20b,soft,Comparison,Distractor Extraction,380,15.001974
feta,gpt-oss-20b,soft,Comparison,Premature Refusal,6,0.236873
feta,gpt-oss-20b,soft,Comparison,Reasoning Hallucination,132,5.211212
feta,gpt-oss-20b,soft,Aggregation,Distractor Extraction,97,3.829451
feta,gpt-oss-20b,soft,Aggregation,Premature Refusal,4,0.157916
feta,gpt-oss-20b,soft,Aggregation,Reasoning Hallucination,39,1.539676
feta,claude-haiku-4-5,hard,Lookup,Distractor Extraction,2904,67.977528
feta,claude-haiku-4-5,hard,Lookup,Premature Refusal,197,4.611423
feta,claude-haiku-4-5,hard,Lookup,Reasoning Hallucination,83,1.942884
feta,claude-haiku-4-5,hard,Comparison,Distractor Extraction,788,18.445693
feta,claude-haiku-4-5,hard,Comparison,Premature Refusal,45,1.053371
feta,claude-haiku-4-5,hard,Comparison,Reasoning Hallucination,27,0.632022
feta,claude-haiku-4-5,hard,Aggregation,Distractor Extraction,221,5.173221
feta,claude-haiku-4-5,hard,Aggregation,Premature Refusal,4,0.093633
feta,claude-haiku-4-5,hard,Aggregation,Reasoning Hallucination,3,0.070225
feta,claude-haiku-4-5,soft,Lookup,Distractor Extraction,1576,63.805668
feta,claude-haiku-4-5,soft,Lookup,Premature Refusal,150,6.072874
