dataset,reader,K,condition,input_tokens_display,output_tokens_display,cps_display,source,provenance_class
OTTQA,gpt-oss-20b,10,soft,"4,042","1,039",0.0006,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,gpt-oss-20b,10,hard,"4,190","1,103",0.0006,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,gpt-oss-20b,30,soft,"11,807","1,075",0.0011,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,gpt-oss-20b,30,hard,"12,061","1,228",0.0012,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,gpt-oss-20b,50,soft,"19,573","1,151",0.0017,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,gpt-oss-20b,50,hard,"19,859","1,322",0.0018,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,qwen3-32b,1,soft,534,"1,185",0.0024,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,qwen3-32b,1,hard,534,"1,185",0.0024,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,qwen3-32b,10,soft,"4,409","1,213",0.0058,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,qwen3-32b,10,hard,"4,633","1,582",0.0060,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,qwen3-32b,30,soft,"11,528","1,173",0.0141,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,qwen3-32b,30,hard,"13,510","1,638",0.0136,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,qwen3-32b,50,soft,"19,444","1,214",0.0226,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,qwen3-32b,50,hard,"22,290","1,638",0.0225,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,gpt-4o,1,soft,476,52,0.0022,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,gpt-4o,1,hard,476,52,0.0022,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,gpt-4o,10,soft,"4,265",65,0.0145,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,gpt-4o,10,hard,"5,203",92,0.0203,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,gpt-4o,30,soft,"12,724",76,0.0421,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,gpt-4o,30,hard,"15,274",115,0.0591,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,gpt-4o,50,soft,"21,197",83,0.0705,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,gpt-4o,50,hard,"25,164",128,0.0969,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,claude-haiku-4-5,1,soft,332,79,0.0008,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,claude-haiku-4-5,1,hard,332,79,0.0008,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,claude-haiku-4-5,10,soft,"2,867",88,0.0042,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,claude-haiku-4-5,10,hard,"3,820",111,0.0065,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,claude-haiku-4-5,30,soft,"9,440",111,0.0136,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,claude-haiku-4-5,30,hard,"11,236",120,0.0185,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,claude-haiku-4-5,50,soft,"15,727",111,0.0223,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,claude-haiku-4-5,50,hard,"18,508",121,0.0300,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,gpt-oss-20b,1,soft,544,304,0.0001,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,gpt-oss-20b,1,hard,544,304,0.0001,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,gpt-oss-20b,10,soft,"4,357",371,0.0002,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,gpt-oss-20b,10,hard,"5,304",558,0.0003,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,gpt-oss-20b,30,soft,"12,840",546,0.0005,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,gpt-oss-20b,30,hard,"15,401",874,0.0008,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,gpt-oss-20b,50,soft,"21,323",654,0.0008,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,gpt-oss-20b,50,hard,"25,283","1,091",0.0013,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,qwen3-32b,1,soft,540,582,0.0006,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,qwen3-32b,1,hard,540,582,0.0006,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,qwen3-32b,10,soft,"4,865",753,0.0022,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,qwen3-32b,10,hard,"5,947","1,169",0.0034,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,qwen3-32b,30,soft,"14,506",794,0.0061,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,qwen3-32b,30,hard,"17,398","1,150",0.0090,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,qwen3-32b,50,soft,"24,142",786,0.0101,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,qwen3-32b,50,hard,"28,597","1,077",0.0148,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
