dataset,reader,K,condition,input_rate_usd_per_1m,output_rate_usd_per_1m,recomputed_average_cost_usd,recomputed_cps_point_usd,recomputed_cps_low_from_display_rounding,recomputed_cps_high_from_display_rounding,published_cps,published_cps_4dp,matches_camera_ready_4dp
E2E-WTQ,claude-haiku-4-5,30,bge_m3,1.00,5.00,0.024831000000,0.034501875782,0.034495310872,0.034508441604,0.0345038,0.0345,true
E2E-WTQ,claude-haiku-4-5,40,soft,1.00,5.00,0.014493000000,0.018316459073,0.018312667631,0.018320250516,0.018316459073483775,0.0183,true
E2E-WTQ,claude-haiku-4-5,40,hard,1.00,5.00,0.015520000000,0.021022530590,0.021018466957,0.021026594224,0.021022530590129884,0.0210,true
E2E-WTQ,claude-haiku-4-5,40,bge_m3,1.00,5.00,0.032417000000,0.043524436090,0.043517486742,0.043531386371,0.0435245,0.0435,true
E2E-WTQ,claude-haiku-4-5,50,soft,1.00,5.00,0.017881000000,0.022638316429,0.022634518266,0.022642114592,0.022638316429164265,0.0226,true
E2E-WTQ,claude-haiku-4-5,50,hard,1.00,5.00,0.019127000000,0.025989341144,0.025985264811,0.025993417477,0.025989341143788872,0.0260,true
E2E-WTQ,claude-haiku-4-5,50,bge_m3,1.00,5.00,0.039470000000,0.052410038508,0.052402575848,0.052417502158,0.0524099,0.0524,true
E2E-WTQ,gpt-oss-20b,1,soft,0.02,0.10,0.000057000000,0.000077403585,0.000077316858,0.000077490324,7.740358500814775e-05,0.0001,true
E2E-WTQ,gpt-oss-20b,1,hard,0.02,0.10,0.000057000000,0.000077403585,0.000077316858,0.000077490324,7.740358500814775e-05,0.0001,true
E2E-WTQ,gpt-oss-20b,1,bge_m3,0.02,0.10,0.000053200000,0.000116641087,0.000116496766,0.000116785440,0.0001167,0.0001,true
E2E-WTQ,gpt-oss-20b,5,soft,0.02,0.10,0.000073060000,0.000093321033,0.000093244394,0.000093397672,9.33210332103321e-05,0.0001,true
E2E-WTQ,gpt-oss-20b,5,hard,0.02,0.10,0.000080620000,0.000108927955,0.000108846887,0.000109009023,0.00010892795484229331,0.0001,true
E2E-WTQ,gpt-oss-20b,5,bge_m3,0.02,0.10,0.000184140000,0.000316609354,0.000316478982,0.000316739747,0.0003166,0.0003,true
E2E-WTQ,gpt-oss-20b,10,soft,0.02,0.10,0.000114960000,0.000148518604,0.000148441089,0.000148596119,0.00014851860358291226,0.0001,true
E2E-WTQ,gpt-oss-20b,10,hard,0.02,0.10,0.000126580000,0.000173977184,0.000173894718,0.000174059651,0.00017397718422137719,0.0002,true
E2E-WTQ,gpt-oss-20b,10,bge_m3,0.02,0.10,0.000308300000,0.000472345641,0.000472217541,0.000472473761,0.0004723,0.0005,true
E2E-WTQ,gpt-oss-20b,20,soft,0.02,0.10,0.000196480000,0.000259440426,0.000259361200,0.000259519653,0.00025944042606258896,0.0003,true
E2E-WTQ,gpt-oss-20b,20,hard,0.02,0.10,0.000212720000,0.000298084888,0.000298000810,0.000298168966,0.0002980848877401675,0.0003,true
E2E-WTQ,gpt-oss-20b,20,bge_m3,0.02,0.10,0.000554600000,0.000838904856,0.000838750662,0.000839059073,0.000839,0.0008,true
E2E-WTQ,gpt-oss-20b,30,soft,0.02,0.10,0.000277020000,0.000366698044,0.000366618620,0.000366777467,0.00036669804382997496,0.0004,true
E2E-WTQ,gpt-oss-20b,30,hard,0.02,0.10,0.000295640000,0.000418648121,0.000418563157,0.000418733086,0.00041864812134180876,0.0004,true
E2E-WTQ,gpt-oss-20b,30,bge_m3,0.02,0.10,0.000772480000,0.001146793349,0.001146619164,0.001146967560,0.0011467,0.0011,true
E2E-WTQ,gpt-oss-20b,40,soft,0.02,0.10,0.000342680000,0.000471599615,0.000471517042,0.000471682187,0.000471599614661223,0.0005,true
E2E-WTQ,gpt-oss-20b,40,hard,0.02,0.10,0.000356460000,0.000521937331,0.000521849478,0.000522025185,0.0005219373312074969,0.0005,true
E2E-WTQ,gpt-oss-20b,40,bge_m3,0.02,0.10,0.000971940000,0.001451740105,0.001451542081,0.001451938158,0.0014517,0.0015,true
E2E-WTQ,gpt-oss-20b,50,soft,0.02,0.10,0.000416280000,0.000569596351,0.000569514253,0.000569678449,0.0005695963511972633,0.0006,true
E2E-WTQ,gpt-oss-20b,50,hard,0.02,0.10,0.000428600000,0.000632319192,0.000632230673,0.000632407711,0.0006323191921841191,0.0006,true
E2E-WTQ,gpt-oss-20b,50,bge_m3,0.02,0.10,0.001158160000,0.001740808658,0.001740587661,0.001741029688,0.0017408,0.0017,true
E2E-WTQ,qwen3-32b,1,soft,0.29,0.59,0.000540480000,0.000668139113,0.000667595187,0.000668683039,0.0006681391132355364,0.0007,true
E2E-WTQ,qwen3-32b,1,hard,0.29,0.59,0.000540480000,0.000668139113,0.000667595187,0.000668683039,0.0006681391132355364,0.0007,true
E2E-WTQ,qwen3-32b,1,bge_m3,0.29,0.59,0.000899530000,0.001919611609,0.001918467940,0.001920755522,0.0019202,0.0019,true
E2E-WTQ,qwen3-32b,5,soft,0.29,0.59,0.001082350000,0.001350424210,0.001349875232,0.001350973189,0.0013504242104971304,0.0014,true
E2E-WTQ,qwen3-32b,5,hard,0.29,0.59,0.001180120000,0.001520033203,0.001519466468,0.001520599937,0.0015200332026218623,0.0015,true
E2E-WTQ,qwen3-32b,5,bge_m3,0.29,0.59,0.002709280000,0.004288192466,0.004287156762,0.004289228334,0.0042878,0.0043,true
E2E-WTQ,qwen3-32b,10,soft,0.29,0.59,0.001732640000,0.002204002714,0.002203443012,0.002204562415,0.0022040027137042065,0.0022,true
E2E-WTQ,qwen3-32b,10,hard,0.29,0.59,0.001905400000,0.002505200725,0.002504622217,0.002505779232,0.002505200724595337,0.0025,true
E2E-WTQ,qwen3-32b,10,bge_m3,0.29,0.59,0.004853600000,0.007116715543,0.007110857143,0.007122582539,0.0071165,0.0071,true
E2E-WTQ,qwen3-32b,20,soft,0.29,0.59,0.002986920000,0.003958515683,0.003957932558,0.003959098807,0.003958515682520983,0.0040,true
E2E-WTQ,qwen3-32b,20,hard,0.29,0.59,0.003199650000,0.004536866069,0.004536242182,0.004537489956,0.004536866069037228,0.0045,true
E2E-WTQ,qwen3-32b,20,bge_m3,0.29,0.59,0.008948610000,0.012961486095,0.012959910203,0.012963062215,0.0129633,0.0130,true
E2E-WTQ,qwen3-32b,30,soft,0.29,0.59,0.004238050000,0.006085460608,0.006084828808,0.006086092409,0.00608546060818788,0.0061,true
E2E-WTQ,qwen3-32b,30,hard,0.29,0.59,0.004435400000,0.006728118522,0.006727451080,0.006728785963,0.006728118521514891,0.0067,true
E2E-WTQ,qwen3-32b,30,bge_m3,0.29,0.59,0.012647000000,0.018318366165,0.018316402346,0.018320330267,0.0183185,0.0183,true
E2E-WTQ,qwen3-32b,40,soft,0.29,0.59,0.005437930000,0.008531721986,0.008531031657,0.008532412314,0.00853172198591451,0.0085,true
E2E-WTQ,qwen3-32b,40,hard,0.29,0.59,0.005602460000,0.009421881307,0.009421141341,0.009422621272,0.00942188130652515,0.0094,true
E2E-WTQ,qwen3-32b,40,bge_m3,0.29,0.59,0.016690900000,0.027702738589,0.027699709568,0.027705768114,0.0277026,0.0277,true
E2E-WTQ,qwen3-32b,50,soft,0.29,0.59,0.006623600000,0.011078724353,0.011077988403,0.011079460303,0.011078724353256022,0.0111,true
E2E-WTQ,qwen3-32b,50,hard,0.29,0.59,0.006731660000,0.012333565409,0.012331629569,0.012335501603,0.01233356540857457,0.0123,true
E2E-WTQ,qwen3-32b,50,bge_m3,0.29,0.59,0.020067760000,0.028721568627,0.028718883721,0.028724253918,0.0287215,0.0287,true
OTTQA,gpt-4o,1,soft,2.50,10.00,0.001917500000,0.004509663910,0.004494964876,0.004524362945,0.004509663910473744,0.0045,true
OTTQA,gpt-4o,1,hard,2.50,10.00,0.001917500000,0.004509663910,0.004494964876,0.004524362945,0.004509663910473744,0.0045,true
OTTQA,gpt-4o,1,bge_m3,2.50,10.00,0.001942500000,0.005368988391,0.005350974161,0.005387007602,0.0053732,0.0054,true
OTTQA,gpt-4o,5,soft,2.50,10.00,0.006075000000,0.015077077138,0.015061565741,0.015092588534,0.015077077137524401,0.0151,true
OTTQA,gpt-4o,5,hard,2.50,10.00,0.006490000000,0.016104479001,0.016088970065,0.016119987937,0.016104479000882726,0.0161,true
OTTQA,gpt-4o,5,bge_m3,2.50,10.00,0.006802500000,0.018276464267,0.018257219610,0.018295714094,0.0182787,0.0183,true
OTTQA,gpt-4o,10,soft,2.50,10.00,0.010975000000,0.028188127015,0.028172074551,0.028204179479,0.028188127015183154,0.0282,true
OTTQA,gpt-4o,10,hard,2.50,10.00,0.011630000000,0.029736826036,0.029720845369,0.029752806704,0.02973682603644911,0.0297,true
OTTQA,gpt-4o,10,bge_m3,2.50,10.00,0.012467500000,0.033255534809,0.033234431258,0.033276643991,0.0332447,0.0332,true
OTTQA,gpt-4o,20,soft,2.50,10.00,0.020712500000,0.054690963392,0.054674460385,0.054707466398,0.05469096339177167,0.0547,true
OTTQA,gpt-4o,20,hard,2.50,10.00,0.021665000000,0.055231624988,0.055215691563,0.055247558413,0.055231624988228964,0.0552,true
OTTQA,gpt-4o,20,bge_m3,2.50,10.00,0.023380000000,0.061917372881,0.061892625447,0.061942126871,0.061908,0.0619,true
OTTQA,gpt-4o,30,soft,2.50,10.00,0.030502500000,0.081014326803,0.080997726868,0.081030926739,0.08101432680346762,0.0810,true
OTTQA,gpt-4o,30,hard,2.50,10.00,0.031510000000,0.081516154807,0.081499986100,0.081532323515,0.08151615480722489,0.0815,true
OTTQA,gpt-4o,30,bge_m3,2.50,10.00,0.034182500000,0.087490401843,0.087463211772,0.087517598874,0.0874809,0.0875,true
OTTQA,gpt-4o,40,soft,2.50,10.00,0.040187500000,0.104736701633,0.104720412877,0.104752990389,0.1047367016326647,0.1047,true
OTTQA,gpt-4o,40,hard,2.50,10.00,0.041337500000,0.106959203550,0.106943031913,0.106975375186,0.10695920354959226,0.1070,true
OTTQA,gpt-4o,40,bge_m3,2.50,10.00,0.044612500000,0.114714579583,0.114683763980,0.114745403112,0.114708,0.1147,true
OTTQA,gpt-4o,50,soft,2.50,10.00,0.049900000000,0.132593516474,0.132576909069,0.132610123878,0.13259351647380832,0.1326,true
OTTQA,gpt-4o,50,hard,2.50,10.00,0.051075000000,0.131768400434,0.131752276058,0.131784524810,0.13176840043380988,0.1318,true
OTTQA,gpt-4o,50,bge_m3,2.50,10.00,0.055107500000,0.137699900050,0.137667083073,0.137732725228,0.1376945,0.1377,true
OTTQA,claude-haiku-4-5,1,soft,1.00,5.00,0.001189000000,0.003277759062,0.003269488854,0.003286029270,0.0032777590618374474,0.0033,true
OTTQA,claude-haiku-4-5,1,hard,1.00,5.00,0.001189000000,0.003277759062,0.003269488854,0.003286029270,0.0032777590618374474,0.0033,true
OTTQA,claude-haiku-4-5,1,bge_m3,1.00,5.00,0.001117000000,0.003324404762,0.003310549777,0.003338301043,0.0033196,0.0033,true
OTTQA,claude-haiku-4-5,5,soft,1.00,5.00,0.002804000000,0.008205470906,0.008196691872,0.008214249941,0.008205470906186372,0.0082,true
OTTQA,claude-haiku-4-5,5,hard,1.00,5.00,0.002929000000,0.008437329194,0.008428687341,0.008445971048,0.008437329194487338,0.0084,true
OTTQA,claude-haiku-4-5,5,bge_m3,1.00,5.00,0.002706000000,0.008075201432,0.008065045502,0.008085360394,0.0080744,0.0081,true
OTTQA,claude-haiku-4-5,10,soft,1.00,5.00,0.004627000000,0.013158811024,0.013150279268,0.013167342779,0.013158811023549849,0.0132,true
OTTQA,claude-haiku-4-5,10,hard,1.00,5.00,0.004815000000,0.014105490666,0.014096702198,0.014114279133,0.014105490665660218,0.0141,true
OTTQA,claude-haiku-4-5,10,bge_m3,1.00,5.00,0.004513000000,0.013145936499,0.013135284695,0.013156591406,0.0131534,0.0132,true
OTTQA,claude-haiku-4-5,20,soft,1.00,5.00,0.008301000000,0.023153424275,0.023145056576,0.023161791975,0.02315342427518053,0.0232,true
