dataset,reader,K,condition,score,nrr_calculated,nrr_frozen
E2E-WTQ,gpt-oss-20b,40,bge_m3,0.6695,1.46787985,1.4679
E2E-WTQ,gpt-oss-20b,50,bge_m3,0.6653,1.45867134,1.4587
E2E-WTQ,qwen3-32b,1,soft,0.8089333333333334,1.00000000,1.0
E2E-WTQ,qwen3-32b,5,soft,0.8014888888888888,0.99079721,0.9907972089445634
E2E-WTQ,qwen3-32b,10,soft,0.7861333333333334,0.97181474,0.9718147354540959
E2E-WTQ,qwen3-32b,20,soft,0.7545555555555555,0.93277842,0.9327784187681994
E2E-WTQ,qwen3-32b,30,soft,0.6964222222222222,0.86091424,0.8609142354815668
E2E-WTQ,qwen3-32b,40,soft,0.6373777777777778,0.78792374,0.7879237404538212
E2E-WTQ,qwen3-32b,50,soft,0.5978666666666667,0.73908027,0.7390802703148178
E2E-WTQ,qwen3-32b,1,hard,0.8089333333333334,1.00000000,1.0
E2E-WTQ,qwen3-32b,5,hard,0.7763777777777777,0.95975496,0.9597549585187626
E2E-WTQ,qwen3-32b,10,hard,0.7605777777777778,0.94022306,0.9402230646667765
E2E-WTQ,qwen3-32b,20,hard,0.7052555555555555,0.87183397,0.8718339651667489
E2E-WTQ,qwen3-32b,30,hard,0.6592333333333333,0.81494149,0.8149414867314982
E2E-WTQ,qwen3-32b,40,hard,0.5946222222222223,0.73506950,0.7350695016757322
E2E-WTQ,qwen3-32b,50,hard,0.5458,0.67471567,0.6747156749629141
E2E-WTQ,qwen3-32b,1,bge_m3,0.4686,1.00000000,1
E2E-WTQ,qwen3-32b,5,bge_m3,0.6318,1.34827145,1.3483
E2E-WTQ,qwen3-32b,10,bge_m3,0.682,1.45539906,1.4554
E2E-WTQ,qwen3-32b,20,bge_m3,0.6904,1.47332480,1.4733
E2E-WTQ,qwen3-32b,30,bge_m3,0.6904,1.47332480,1.4733
E2E-WTQ,qwen3-32b,40,bge_m3,0.6025,1.28574477,1.2857
E2E-WTQ,qwen3-32b,50,bge_m3,0.6987,1.49103713,1.491
FeTaQA,claude-haiku-4-5,1,soft,0.8859391970105253,1.00000000,1.0
FeTaQA,claude-haiku-4-5,5,soft,0.8295439989055203,0.93634417,0.9363441663995651
FeTaQA,claude-haiku-4-5,10,soft,0.7880315980665124,0.88948723,0.8894872252244984
FeTaQA,claude-haiku-4-5,20,soft,0.7465560683406594,0.84267190,0.8426719021574005
FeTaQA,claude-haiku-4-5,30,soft,0.7365040800574753,0.83132576,0.8313257642767163
FeTaQA,claude-haiku-4-5,40,soft,0.7299451043515894,0.82392235,0.8239223490897395
FeTaQA,claude-haiku-4-5,50,soft,0.7286433356266939,0.82245298,0.8224529833259396
FeTaQA,claude-haiku-4-5,1,hard,0.8859391970105253,1.00000000,1.0
FeTaQA,claude-haiku-4-5,5,hard,0.7254864429078299,0.81888965,0.8188896544547074
FeTaQA,claude-haiku-4-5,10,hard,0.6756863654966424,0.76267803,0.762678034538543
FeTaQA,claude-haiku-4-5,20,hard,0.6498668323796725,0.73353435,0.7335343492787709
FeTaQA,claude-haiku-4-5,30,hard,0.6397566945525066,0.72212258,0.7221225753542385
FeTaQA,claude-haiku-4-5,40,hard,0.6381505474880099,0.72030964,0.7203096438687411
FeTaQA,claude-haiku-4-5,50,hard,0.6373748125872895,0.71943404,0.71943403648695
FeTaQA,claude-haiku-4-5,1,bge_m3,0.3955,1.00000000,1
FeTaQA,claude-haiku-4-5,5,bge_m3,0.4835,1.22250316,1.2225
FeTaQA,claude-haiku-4-5,10,bge_m3,0.497,1.25663717,1.2566
FeTaQA,claude-haiku-4-5,20,bge_m3,0.5335,1.34892541,1.3489
FeTaQA,claude-haiku-4-5,30,bge_m3,0.5355,1.35398230,1.354
FeTaQA,claude-haiku-4-5,40,bge_m3,0.552,1.39570164,1.3957
FeTaQA,claude-haiku-4-5,50,bge_m3,0.544,1.37547408,1.3755
FeTaQA,gpt-4o,1,soft,0.7751878295347397,1.00000000,1.0
FeTaQA,gpt-4o,5,soft,0.7814775290248961,1.00811377,1.008113774817558
FeTaQA,gpt-4o,10,soft,0.7817017882278922,1.00840307,1.0084030714169778
FeTaQA,gpt-4o,20,soft,0.7761844777997634,1.00128569,1.0012856861615356
FeTaQA,gpt-4o,30,soft,0.772720115289291,0.99681662,0.9968166241116945
FeTaQA,gpt-4o,40,soft,0.7674122313352297,0.98996940,0.9899694010880217
FeTaQA,gpt-4o,50,soft,0.7631101382843571,0.98441966,0.9844196583199306
FeTaQA,gpt-4o,1,hard,0.7751878295347397,1.00000000,1.0
FeTaQA,gpt-4o,5,hard,0.7106620405990475,0.91676109,0.9167610913416687
FeTaQA,gpt-4o,10,hard,0.6877225453493963,0.88716891,0.8871689146128116
FeTaQA,gpt-4o,20,hard,0.6680567369363493,0.86179983,0.8617998264205341
FeTaQA,gpt-4o,30,hard,0.6653724478377789,0.85833707,0.8583370668204751
FeTaQA,gpt-4o,40,hard,0.6557583431503511,0.84593478,0.8459347762772939
FeTaQA,gpt-4o,50,hard,0.6622014374333055,0.85424643,0.8542464319012237
FeTaQA,gpt-4o,1,bge_m3,0.3595,1.00000000,1
FeTaQA,gpt-4o,5,bge_m3,0.4675,1.30041725,1.3004
FeTaQA,gpt-4o,10,bge_m3,0.503,1.39916551,1.3992
FeTaQA,gpt-4o,20,bge_m3,0.542,1.50764951,1.5076
FeTaQA,gpt-4o,30,bge_m3,0.5605,1.55910987,1.5591
FeTaQA,gpt-4o,40,bge_m3,0.5725,1.59248957,1.5925
FeTaQA,gpt-4o,50,bge_m3,0.584,1.62447844,1.6245
FeTaQA,gpt-oss-20b,1,soft,0.6774945329213855,1.00000000,1.0
FeTaQA,gpt-oss-20b,5,soft,0.6610159325145142,0.97567715,0.9756771462998899
FeTaQA,gpt-oss-20b,10,soft,0.6402913731280525,0.94508714,0.9450871439022372
FeTaQA,gpt-oss-20b,20,soft,0.6330058621868967,0.93433354,0.9343335354417522
FeTaQA,gpt-oss-20b,30,soft,0.6286944352106084,0.92796975,0.9279697542349914
FeTaQA,gpt-oss-20b,40,soft,0.620522760188953,0.91590814,0.9159081439568704
FeTaQA,gpt-oss-20b,50,soft,0.613336061891937,0.90530039,0.9053003855945606
FeTaQA,gpt-oss-20b,1,hard,0.6774945329213855,1.00000000,1.0
FeTaQA,gpt-oss-20b,5,hard,0.5368271398487389,0.79237118,0.7923711760948345
FeTaQA,gpt-oss-20b,10,hard,0.5043252206535237,0.74439748,0.7443974765063441
FeTaQA,gpt-oss-20b,20,hard,0.4957720005471144,0.73177270,0.7317726955069649
FeTaQA,gpt-oss-20b,30,hard,0.4959805987779471,0.73208059,0.7320805920591823
FeTaQA,gpt-oss-20b,40,hard,0.48459627143854916,0.71527702,0.7152770212756541
FeTaQA,gpt-oss-20b,50,hard,0.4900396910039359,0.72331165,0.7233116537352172
FeTaQA,gpt-oss-20b,1,bge_m3,0.308,1.00000000,1
FeTaQA,gpt-oss-20b,5,bge_m3,0.358,1.16233766,1.1623
FeTaQA,gpt-oss-20b,10,bge_m3,0.3855,1.25162338,1.2516
FeTaQA,gpt-oss-20b,20,bge_m3,0.386,1.25324675,1.2532
FeTaQA,gpt-oss-20b,30,bge_m3,0.421,1.36688312,1.3669
FeTaQA,gpt-oss-20b,40,bge_m3,0.416,1.35064935,1.3506
FeTaQA,gpt-oss-20b,50,bge_m3,0.4375,1.42045455,1.4205
FeTaQA,qwen3-32b,1,soft,0.8666644479818357,1.00000000,1.0
FeTaQA,qwen3-32b,5,soft,0.8361413094622745,0.96478090,0.9647809038542666
FeTaQA,qwen3-32b,10,soft,0.8253564757982449,0.95233683,0.9523368331540737
FeTaQA,qwen3-32b,20,soft,0.8004521240406214,0.92360097,0.9236009691000939
FeTaQA,qwen3-32b,30,soft,0.7698598541950749,0.88830211,0.8883021058355566
FeTaQA,qwen3-32b,40,soft,0.7590094493893248,0.87578238,0.8757823759319971
FeTaQA,qwen3-32b,50,soft,0.7400274624087414,0.85388003,0.8538800271916214
FeTaQA,qwen3-32b,1,hard,0.8666644479818357,1.00000000,1.0
FeTaQA,qwen3-32b,5,hard,0.7411675551854735,0.85519552,0.8551955222247763
FeTaQA,qwen3-32b,10,hard,0.7004531805011499,0.80821728,0.8082172773237267
FeTaQA,qwen3-32b,20,hard,0.6577498190222884,0.75894404,0.7589440417845247
FeTaQA,qwen3-32b,30,hard,0.6346119767607673,0.73224646,0.7322464631364087
FeTaQA,qwen3-32b,40,hard,0.6158067257317211,0.71054804,0.710548041016017
FeTaQA,qwen3-32b,50,hard,0.6040437992690295,0.69697540,0.6969753988128166
FeTaQA,qwen3-32b,1,bge_m3,0.3805,1.00000000,1
FeTaQA,qwen3-32b,5,bge_m3,0.4795,1.26018397,1.2602
FeTaQA,qwen3-32b,10,bge_m3,0.5165,1.35742444,1.3574
FeTaQA,qwen3-32b,20,bge_m3,0.529,1.39027595,1.3903
FeTaQA,qwen3-32b,30,bge_m3,0.5395,1.41787122,1.4179
FeTaQA,qwen3-32b,40,bge_m3,0.5385,1.41524310,1.4152
FeTaQA,qwen3-32b,50,bge_m3,0.5435,1.42838371,1.4284
OTTQA,claude-haiku-4-5,1,soft,0.36274783398309635,1.00000000,1.0
OTTQA,claude-haiku-4-5,5,soft,0.3417232273513971,0.94204071,0.9420407107580994
OTTQA,claude-haiku-4-5,10,soft,0.3516275134371354,0.96934421,0.969344212413742
OTTQA,claude-haiku-4-5,20,soft,0.35852148266890754,0.98834907,0.9883490653333971
OTTQA,claude-haiku-4-5,30,soft,0.3627821973748211,1.00009473,1.0000947307978312
OTTQA,claude-haiku-4-5,40,soft,0.36147225505787217,0.99648357,0.9964835657012259
OTTQA,claude-haiku-4-5,50,soft,0.36142755781466507,0.99636035,0.9963603472033611
OTTQA,claude-haiku-4-5,1,hard,0.36274783398309635,1.00000000,1.0
OTTQA,claude-haiku-4-5,5,hard,0.3471477682669663,0.95699474,0.956994737791165
OTTQA,claude-haiku-4-5,10,hard,0.34135643446435404,0.94102956,0.9410295596148505
OTTQA,claude-haiku-4-5,20,hard,0.34861167832901496,0.96103035,0.9610303513080657
OTTQA,claude-haiku-4-5,30,hard,0.3499611648472003,0.96475053,0.9647505293264084
OTTQA,claude-haiku-4-5,40,hard,0.34908809837873694,0.96234372,0.962343715593362
OTTQA,claude-haiku-4-5,50,hard,0.34394908169526356,0.94817680,0.9481768034796625
OTTQA,claude-haiku-4-5,1,bge_m3,0.336,1.00000000,1
OTTQA,claude-haiku-4-5,5,bge_m3,0.3351,0.99732143,0.9973
OTTQA,claude-haiku-4-5,10,bge_m3,0.3433,1.02172619,1.0217
OTTQA,claude-haiku-4-5,20,bge_m3,0.3559,1.05922619,1.0592
OTTQA,claude-haiku-4-5,30,bge_m3,0.3568,1.06190476,1.0619
OTTQA,claude-haiku-4-5,40,bge_m3,0.3555,1.05803571,1.058
OTTQA,claude-haiku-4-5,50,bge_m3,0.36,1.07142857,1.0714
OTTQA,gpt-4o,1,soft,0.42519798327910535,1.00000000,1.0
OTTQA,gpt-4o,5,soft,0.4029295562122123,0.94762810,0.9476280981034763
OTTQA,gpt-4o,10,soft,0.3893483236430879,0.91568714,0.9156871362381668
OTTQA,gpt-4o,20,soft,0.37871887265230036,0.89068831,0.8906883088476563
OTTQA,gpt-4o,30,soft,0.37650747964611136,0.88548745,0.885487453967925
OTTQA,gpt-4o,40,soft,0.3837002633608479,0.90240377,0.9024037705959254
OTTQA,gpt-4o,50,soft,0.3763381598666397,0.88508924,0.8850892399920123
OTTQA,gpt-4o,1,hard,0.42519798327910535,1.00000000,1.0
OTTQA,gpt-4o,5,hard,0.4029934777551181,0.94777843,0.947778431701987
OTTQA,gpt-4o,10,hard,0.3910975564690342,0.91980106,0.9198010617381335
OTTQA,gpt-4o,20,hard,0.39225715348076884,0.92252825,0.9225282548513083
OTTQA,gpt-4o,30,hard,0.3865491456818228,0.90910390,0.9091039019065315
OTTQA,gpt-4o,40,hard,0.3864791306232345,0.90893924,0.908939237300062
OTTQA,gpt-4o,50,hard,0.38761189960453435,0.91160334,0.9116033350282873
OTTQA,gpt-4o,1,bge_m3,0.3618,1.00000000,1
OTTQA,gpt-4o,5,bge_m3,0.3722,1.02874516,1.0287
OTTQA,gpt-4o,10,bge_m3,0.3749,1.03620785,1.0362
OTTQA,gpt-4o,20,bge_m3,0.3776,1.04367054,1.0437
OTTQA,gpt-4o,30,bge_m3,0.3907,1.07987839,1.0799
OTTQA,gpt-4o,40,bge_m3,0.3889,1.07490326,1.0749
OTTQA,gpt-4o,50,bge_m3,0.4002,1.10613599,1.1061
OTTQA,gpt-oss-20b,1,soft,0.323811948429118,1.00000000,1.0
OTTQA,gpt-oss-20b,5,soft,0.3055002121186227,0.94344947,0.9434494730681512
OTTQA,gpt-oss-20b,10,soft,0.31263979816088777,0.96549803,0.965498029574175
OTTQA,gpt-oss-20b,20,soft,0.29319412340858614,0.90544566,0.9054456601460645
OTTQA,gpt-oss-20b,30,soft,0.3025802809242449,0.93443211,0.9344321060174817
OTTQA,gpt-oss-20b,40,soft,0.3063153023575798,0.94596664,0.9459666446639224
OTTQA,gpt-oss-20b,50,soft,0.30555240834006486,0.94361067,0.9436106660744481
OTTQA,gpt-oss-20b,1,hard,0.323811948429118,1.00000000,1.0
OTTQA,gpt-oss-20b,5,hard,0.2999621374858392,0.92634672,0.9263467235876274
OTTQA,gpt-oss-20b,10,hard,0.3010527266657907,0.92971469,0.929714694365859
OTTQA,gpt-oss-20b,20,hard,0.2784050461379896,0.85977385,0.8597738517327508
OTTQA,gpt-oss-20b,30,hard,0.295574050297696,0.91279538,0.9127953793292368
OTTQA,gpt-oss-20b,40,hard,0.2906484147692911,0.89758397,0.8975839717443709
OTTQA,gpt-oss-20b,50,hard,0.2916877906025978,0.90079378,0.9007937848422165
OTTQA,gpt-oss-20b,1,bge_m3,0.2733,1.00000000,1
OTTQA,gpt-oss-20b,5,bge_m3,0.2995,1.09586535,1.0959
OTTQA,gpt-oss-20b,10,bge_m3,0.2687,0.98316868,0.9832
OTTQA,gpt-oss-20b,20,bge_m3,0.2624,0.96011709,0.9601
OTTQA,gpt-oss-20b,30,bge_m3,0.2999,1.09732894,1.0973
OTTQA,gpt-oss-20b,40,bge_m3,0.29,1.06110501,1.0611
OTTQA,gpt-oss-20b,50,bge_m3,0.2669,0.97658251,0.9766
OTTQA,qwen3-32b,1,soft,0.3493339783637636,1.00000000,1.0
OTTQA,qwen3-32b,5,soft,0.3596412745931144,1.02950556,1.0295055644962705
OTTQA,qwen3-32b,10,soft,0.34306958763339024,0.98206762,0.9820676168985479
OTTQA,qwen3-32b,20,soft,0.36705382629859445,1.05072466,1.0507246618775201
OTTQA,qwen3-32b,30,soft,0.28546222865918786,0.81716136,0.817161359442494
OTTQA,qwen3-32b,40,soft,0.2711290993852254,0.77613148,0.7761314849908387
OTTQA,qwen3-32b,50,soft,0.2808001253394061,0.80381567,0.8038156684747317
OTTQA,qwen3-32b,1,hard,0.3493339783637636,1.00000000,1.0
OTTQA,qwen3-32b,5,hard,0.3561038708239939,1.01937943,1.0193794273661543
OTTQA,qwen3-32b,10,hard,0.3773920825155936,1.08031885,1.0803188521289873
OTTQA,qwen3-32b,20,hard,0.36986078827170354,1.05875984,1.058759843528777
OTTQA,qwen3-32b,30,hard,0.3597413151749667,1.02979194,1.029791939678899
OTTQA,qwen3-32b,40,hard,0.3397528505741287,0.97257316,0.9725731581150172
OTTQA,qwen3-32b,50,hard,0.33039129380756044,0.94577486,0.9457748580744183
OTTQA,qwen3-32b,1,bge_m3,0.3252,1.00000000,1
OTTQA,qwen3-32b,5,bge_m3,0.3261,1.00276753,1.0028
OTTQA,qwen3-32b,10,bge_m3,0.3369,1.03597786,1.036
OTTQA,qwen3-32b,20,bge_m3,0.3356,1.03198032,1.032
OTTQA,qwen3-32b,30,bge_m3,0.3365,1.03474785,1.0347
OTTQA,qwen3-32b,40,bge_m3,0.3315,1.01937269,1.0194
OTTQA,qwen3-32b,50,bge_m3,0.3189,0.98062731,0.9806
