dataset,reader,K,condition,score_display,std_display,nrr_display,source,provenance_class
FeTaQA,gpt-oss-20b,5,bge_m3,0.358,0.004,1.162,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,gpt-oss-20b,10,hard,0.504,0.005,0.744,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,gpt-oss-20b,10,soft,0.640,0.010,0.945,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,gpt-oss-20b,10,bge_m3,0.386,0.004,1.252,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,gpt-oss-20b,20,hard,0.496,0.001,0.732,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,gpt-oss-20b,20,soft,0.633,0.004,0.934,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,gpt-oss-20b,20,bge_m3,0.386,0.002,1.253,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,gpt-oss-20b,30,hard,0.496,0.003,0.732,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,gpt-oss-20b,30,soft,0.629,0.003,0.928,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,gpt-oss-20b,30,bge_m3,0.421,0.003,1.367,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,gpt-oss-20b,40,hard,0.485,0.002,0.715,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,gpt-oss-20b,40,soft,0.621,0.006,0.916,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,gpt-oss-20b,40,bge_m3,0.416,0.003,1.351,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,gpt-oss-20b,50,hard,0.490,0.002,0.723,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,gpt-oss-20b,50,soft,0.613,0.004,0.905,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,gpt-oss-20b,50,bge_m3,0.438,0.002,1.421,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,qwen3-32b,1,hard,0.867,0.012,1.000,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,qwen3-32b,1,soft,0.867,0.012,1.000,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,qwen3-32b,1,bge_m3,0.381,0.005,1.000,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,qwen3-32b,5,hard,0.741,0.002,0.855,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,qwen3-32b,5,soft,0.836,0.002,0.965,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,qwen3-32b,5,bge_m3,0.479,0.002,1.260,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,qwen3-32b,10,hard,0.700,0.004,0.808,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,qwen3-32b,10,soft,0.825,0.005,0.952,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,qwen3-32b,10,bge_m3,0.516,0.003,1.357,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,qwen3-32b,20,hard,0.658,0.004,0.759,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,qwen3-32b,20,soft,0.800,0.005,0.924,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,qwen3-32b,20,bge_m3,0.529,0.005,1.390,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,qwen3-32b,30,hard,0.635,0.004,0.732,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,qwen3-32b,30,soft,0.770,0.007,0.888,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,qwen3-32b,30,bge_m3,0.539,0.004,1.418,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,qwen3-32b,40,hard,0.616,0.004,0.711,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,qwen3-32b,40,soft,0.759,0.002,0.876,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,qwen3-32b,40,bge_m3,0.538,0.004,1.415,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,qwen3-32b,50,hard,0.604,0.003,0.697,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,qwen3-32b,50,soft,0.740,0.004,0.854,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,qwen3-32b,50,bge_m3,0.543,0.002,1.428,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
