dataset,reader,K,condition,score_display,std_display,nrr_display,source,provenance_class
E2E-WTQ,gpt-oss-20b,1,hard,0.736,0.166,1.000,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-oss-20b,1,soft,0.736,0.166,1.000,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-oss-20b,1,bge_m3,0.456,0.103,1.000,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-oss-20b,5,hard,0.740,0.141,1.005,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-oss-20b,5,soft,0.783,0.114,1.063,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-oss-20b,5,bge_m3,0.582,0.140,1.275,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-oss-20b,10,hard,0.728,0.131,0.988,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-oss-20b,10,soft,0.774,0.112,1.051,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-oss-20b,10,bge_m3,0.653,0.117,1.431,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-oss-20b,20,hard,0.714,0.146,0.969,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-oss-20b,20,soft,0.757,0.118,1.028,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-oss-20b,20,bge_m3,0.661,0.147,1.450,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-oss-20b,30,hard,0.706,0.139,0.959,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-oss-20b,30,soft,0.755,0.122,1.026,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-oss-20b,30,bge_m3,0.674,0.132,1.477,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-oss-20b,40,hard,0.683,0.153,0.927,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-oss-20b,40,soft,0.727,0.139,0.987,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-oss-20b,40,bge_m3,0.669,0.152,1.468,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-oss-20b,50,hard,0.678,0.161,0.920,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-oss-20b,50,soft,0.731,0.146,0.992,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-oss-20b,50,bge_m3,0.665,0.158,1.459,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,qwen3-32b,1,hard,0.809,0.122,1.000,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,qwen3-32b,1,soft,0.809,0.122,1.000,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,qwen3-32b,1,bge_m3,0.469,0.071,1.000,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,qwen3-32b,5,hard,0.776,0.108,0.960,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,qwen3-32b,5,soft,0.801,0.112,0.991,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,qwen3-32b,5,bge_m3,0.632,0.109,1.348,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,qwen3-32b,10,hard,0.761,0.088,0.940,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,qwen3-32b,10,soft,0.786,0.086,0.972,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,qwen3-32b,10,bge_m3,0.682,0.079,1.455,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,qwen3-32b,20,hard,0.705,0.042,0.872,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,qwen3-32b,20,soft,0.755,0.036,0.933,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,qwen3-32b,20,bge_m3,0.690,0.043,1.473,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,qwen3-32b,30,hard,0.659,0.019,0.815,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,qwen3-32b,30,soft,0.696,0.031,0.861,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
