dataset,reader,Kc_hard,Kc_soft
E2E-WTQ,claude-haiku-4-5,30,>=50
E2E-WTQ,gpt-4o,>=50,>=50
E2E-WTQ,gpt-oss-20b,>=50,>=50
E2E-WTQ,qwen3-32b,10,20
FeTaQA,claude-haiku-4-5,1,5
FeTaQA,gpt-4o,5,>=50
FeTaQA,gpt-oss-20b,1,>=50
FeTaQA,qwen3-32b,1,20
OTTQA,claude-haiku-4-5,>=50,>=50
OTTQA,gpt-4o,>=50,40
OTTQA,gpt-oss-20b,>=50,>=50
OTTQA,qwen3-32b,>=50,20
