dataset,reader,K,condition,score_display,input_tokens_display,output_tokens_display,published_cps,publication_precision_decimals,source,provenance_class
E2E-WTQ,claude-haiku-4-5,30,hard,0.7438333333333333,11176,140,0.01596594219135111,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
E2E-WTQ,claude-haiku-4-5,30,bge_m3,0.7197,24231,120,0.0345038,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
E2E-WTQ,claude-haiku-4-5,40,soft,0.7912555555555555,13803,138,0.018316459073483775,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
E2E-WTQ,claude-haiku-4-5,40,hard,0.7382555555555556,14790,146,0.021022530590129884,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
E2E-WTQ,claude-haiku-4-5,40,bge_m3,0.7448,31817,120,0.0435245,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
E2E-WTQ,claude-haiku-4-5,50,soft,0.7898555555555555,17186,139,0.022638316429164265,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
E2E-WTQ,claude-haiku-4-5,50,hard,0.7359555555555556,18382,149,0.025989341143788872,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
E2E-WTQ,claude-haiku-4-5,50,bge_m3,0.7531,38865,121,0.0524099,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-oss-20b,1,soft,0.7364,655,439,7.740358500814775e-05,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-oss-20b,1,hard,0.7364,655,439,7.740358500814775e-05,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-oss-20b,1,bge_m3,0.4561,1240,284,0.0001167,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-oss-20b,5,soft,0.7828888888888889,2263,278,9.33210332103321e-05,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-oss-20b,5,hard,0.7401222222222222,2336,339,0.00010892795484229331,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-oss-20b,5,bge_m3,0.5816,6342,573,0.0003166,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-oss-20b,10,soft,0.7740444444444444,4218,306,0.00014851860358291226,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-oss-20b,10,hard,0.7275666666666667,4349,396,0.00017397718422137719,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-oss-20b,10,bge_m3,0.6527,12495,584,0.0004723,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-oss-20b,20,soft,0.7573222222222222,8109,343,0.00025944042606258896,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
